url_name,id,item_name,thumb,vaulted
amars_contempt,61bb64fb3132ff00482b5fb7,Amar's Contempt,items/images/en/thumbs/amars_contempt.6524becca1727855eeeb5a4c64aed1af.128x128.png,False
amars_hatred,61bb64fd3132ff00482b5fcb,Amar's Hatred,items/images/en/thumbs/amars_hatred.1401c99cc4f1f12e4eabfcce31af8cc6.128x128.png,False
ambassador_blueprint,60f3feb1b64404003f0bf5fe,Ambassador Blueprint,sub_icons/blueprint_128x128.png,False
ambassador_set,60f3feb1b64404003f0bf5fb,Ambassador Set,items/images/en/thumbs/ambassador_set.7ccc0f5c1047f5a0cd9f02de8d40b06f.128x128.png,False
ambush,5bc24accb919f2010f7d579a,Ambush,items/images/en/thumbs/ambush.bd6ac0ce71315652d5a7bdd9a80d0218.128x128.png,False
ambush_optics_(rubico),56dac5b05cc639de0a45c527,Ambush Optics,items/images/en/thumbs/ambush_optics_(rubico).95034bc198404a324392a661e7e6cd0c.128x128.png,False
amesha_harness,57dbdc685e334907aa8edb5d,Amesha Harness Blueprint,sub_icons/archwing/generic_chassis_128x128.png,False
amesha_set,57dbdc685e334907aa8edb5e,Amesha Set,items/images/en/thumbs/amesha_set.ff297caf790ef259b5715a2510974338.128x128.png,False
amesha_wings,57dbdc685e334907aa8edb5c,Amesha Wings Blueprint,sub_icons/archwing/generic_wings_128x128.png,False
amethyst_antitoxin,5d6ea67d7ea27b05d929cc02,Amethyst Antitoxin,items/images/en/thumbs/amethyst_antitoxin.98127374f471b7184779047fefa9d105.128x128.png,False
ammo_case,59e203ce115f1d887cfd7ac6,Ammo Case,items/images/en/thumbs/ammo_case.862c4134af807edfca25894181d72d50.128x128.png,False
ammo_chain,5c1bda2414a8e4006b1dada4,Ammo Chain,items/images/en/thumbs/ammo_chain.40e8b3be7565a2ca11143ba312b65db1.128x128.png,False
ammo_drum,54a74454e779892d5e51562f,Ammo Drum,items/images/en/thumbs/ammo_drum.2c5e508c9c2f5b8d199bccbc8dde9491.128x128.png,False
amniophysi,6054de685221e30057501074,Amniophysi,items/images/en/thumbs/amniophysi.4a06c8e524a38ad11635f4c98c01c298.128x128.png,False
anabolic_pollination,5f498a229426ed00443bd0b0,Anabolic Pollination,items/images/en/thumbs/anabolic_pollination.3aec2d415b1f9ec2e342cc6b3898f639.128x128.png,False
anchored_glide,5e7caa02267539063de48c41,Anchored Glide,items/images/en/thumbs/anchored_glide.f5f043a3836edf65ef625618548cf6f8.128x128.png,False
